time,x,y,angular_z
18.3,1.8604945541955826,-4.784349122195862,-0.4045085531378862
18.32,1.8426729069379784,-4.7934258348580645,-0.404511257265297
18.34,1.8247784110356586,-4.802358070865999,-0.40451390782568203
18.36,1.8068122372435533,-4.8111452446405965,-0.40451650588023624
18.38,1.7887755610401883,-4.819786780104971,-0.4045190524689741
18.4,1.7706695625501068,-4.828282110722364,-0.4045215486109749
18.42,1.7524954264660018,-4.836630679533434,-0.40452399530631206
18.44,1.7342543419705592,-4.844831939192923,-0.40452639353374986
18.46,1.7159475026580118,-4.852885352005689,-0.4045287442534989
18.48,1.6975761064554171,-4.860790389962082,-0.40453104840625087
18.5,1.6791413555436607,-4.868546534772695,-0.404533306915073
18.52,1.660644456278194,-4.876153277902459,-0.40453552068375204
18.54,1.6420866191094965,-4.8836101206041045,-0.404537690598168
18.56,1.623469058503933,-4.890916573950709,-0.4045398174965118
18.58,1.6047929928625904,-4.898072158868312,-0.4045419022911889
18.6,1.586059644440533,-4.905076406167567,-0.404543945786674
18.62,1.5672702392679698,-4.911928856573921,-0.4045459488010361
18.64,1.54842600706871,-4.918629060758126,-0.40454791213614216
18.66,1.5295281811791535,-4.925176579365779,-0.40454983657814597
18.68,1.510577998467054,-4.931570983046192,-0.4045517228974656
18.7,1.491576699250074,-4.937811852480609,-0.40455357184875385
18.72,1.4725255272140898,-4.943898778409765,-0.4045553841725505
18.74,1.453425729331305,-4.949831361660772,-0.4045571605945668
18.76,1.434278555778172,-4.9556092131733465,-0.40455890182563664
18.78,1.4150852598530719,-4.961231954025361,-0.40456060856318343
18.8,1.395847097893829,-4.966699215457745,-0.40456228149014883
18.82,1.3765653291950297,-4.972010638898684,-0.4045639212762785
18.84,1.3572412159251337,-4.97716587598719,-0.4045655285783906
18.86,1.3378760230434419,-4.982164588595949,-0.4045671040399629
18.88,1.3184710182168464,-4.987006448853535,-0.40456864829138983
18.9,1.2990274717364458,-4.991691139165931,-0.40457016195124906
18.92,1.2795466564339752,-4.996218352237372,-0.4045716456251965
18.94,1.2600298475980771,-5.000587791090517,-0.4045730999075613
18.96,1.2404783228904395,-5.004799169085928,-0.4045745253804006
18.98,1.2208933622617524,-5.008852209940889,-0.40457592261440795
19.02,1.1816282639838764,-5.016482226990244,-0.40457863459223664
19.04,1.1619506969229036,-5.020058702562502,-0.40457995042164807
19.06,1.1422448349483023,-5.023475839782871,-0.4045812401845172
19.08,1.1225119681905844,-5.026733414410434,-0.40458250439687543
19.1,1.1027533885622922,-5.029831212659476,-0.4045837435646944
19.12,1.082970389673081,-5.032769031213512,-0.4045849581844273
19.14,1.0631642667446992,-5.0355466772386,-0.4045861487418557
19.16,1.043336316525864,-5.038163968395995,-0.40458731571431134
19.18,1.0234878372079308,-5.040620732853969,-0.40458845954535344
19.2,1.003620128337221,-5.042916809299386,-0.4045895807399128
19.22,0.9837344907314445,-5.045052046948008,-0.40459067972322443
19.24,0.9638322263941937,-5.047026305554398,-0.4045917569356231
19.26,0.9439146384291327,-5.0488394554211204,-0.40459281280771503
19.28,0.9239830309543801,-5.050491377407244,-0.4045938477629138
19.3,0.9040387090168482,-5.0519819629361296,-0.4045948622149089
19.32,0.8840829785065266,-5.053311114002534,-0.40459585657019503
19.34,0.8641171460706979,-5.0544787431790175,-0.4045968312272216
19.36,0.8441425190281387,-5.055484773621658,-0.4045977865755385
19.38,0.8241604052832474,-5.05632913907507,-0.40459872299831723
19.4,0.8041721132401688,-5.057011783876717,-0.40459964086980144
19.42,0.7841789517168661,-5.057532662960551,-0.4046005405581592
19.44,0.764182229859191,-5.0578917418599465,-0.4046014224229276
19.46,0.7441832570549204,-5.058088996709926,-0.4046022868178603
19.48,0.7241833428477918,-5.058124414248705,-0.40460313408836496
19.5,0.7041837968515288,-5.057997991818545,-0.4046039645743455
19.52,0.6841859286638653,-5.0577097373658955,-0.4046047786076347
19.54,0.6641910477805799,-5.0572596694408505,-0.4046055765148298
19.56,0.6442004635095341,-5.056647817195903,-0.40460635861455196
19.58,0.6242154848847332,-5.055874220384018,-0.4046071252209517
19.6,0.6042374205804084,-5.054938929355988,-0.40460787664011927
19.62,0.584267578825116,-5.053842005057119,-0.4046086131735841
19.64,0.5643072673158893,-5.052583519023195,-0.4046093351155656
19.66,0.5443577931324074,-5.0511635533757735,-0.404610042755623
19.68,0.5244204626512271,-5.0495822008167695,-0.4046107363770839
19.7,0.5044965814600475,-5.047839564622352,-0.40461141625715574
19.72,0.4845874542720481,-5.045935758636143,-0.4046120826687278
19.74,0.4646943848402705,-5.04387090726174,-0.4046127358777764
19.76,0.44481867587207286,-5.041645145454515,-0.40461337614685017
19.78,0.424961628943665,-5.039258618712762,-0.4046140037314592
19.8,0.40512454441470175,-5.036711483068114,-0.4046146188835556
19.82,0.3853087213429827,-5.0340039050752985,-0.4046152218489309
19.84,0.36551545739921776,-5.031136061801188,-0.4046158128690049
19.86,0.3457460487819004,-5.028108140813165,-0.40461639218092177
19.88,0.3260017901322832,-5.0249203401668066,-0.4046169600161241
19.9,0.3062839744494395,-5.021572868392873,-0.40461751660196665
19.92,0.28659389300545934,-5.018065944483605,-0.4046180621618069
19.94,0.26693283526074735,-5.014399797878353,-0.40461859691357455
19.96,0.2473020887794411,-5.010574668448503,-0.40461912107137854
19.98,0.2277029391449855,-5.0065908064817375,-0.40461963484474756
20.02,0.18860456234102116,-4.998147938070379,-0.4046206320584642
20.04,0.16910789567661302,-4.993689484131311,-0.4046211158980882
20.06,0.14964794670136033,-4.989073402630115,-0.4046215901523268
20.08,0.13022598983317427,-4.984299995675848,-0.40462205501140613
20.1,0.11084329700552009,-4.9793695756850695,-0.40462251066145294
20.12,0.09150113758403024,-4.974282465361352,-0.40462295728440006
20.14,0.07220077828321039,-4.969038997674087,-0.4046233950595803
20.16,0.052943483083429395,-4.963639515836657,-0.4046238241619457
20.18,0.033730513148027406,-4.958084373283908,-0.4046242447638435
20.2,0.014563126740588819,-4.952373933648963,-0.40462465703313716
20.22,-0.004557420857517086,-4.946508570739362,-0.4046250611348967
20.24,-0.023629877429456953,-4.940488668512556,-0.40462545723142856
20.26,-0.04265299390505634,-4.934314621050695,-0.4046258454808214
20.28,-0.06162552444266039,-4.927986832534804,-0.4046262260385278
20.3,-0.08054622651081986,-4.92150571721826,-0.40462659905725934
20.32,-0.09941386096978617,-4.914871699399613,-0.40462696468636494
20.34,-0.11822719215271006,-4.908085213394777,-0.4046273230718802
20.36,-0.1369849879466548,-4.901146703508531,-0.4046276743572978
20.38,-0.15568601987338945,-4.894056624005388,-0.40462801868360765
20.4,-0.17432906316991678,-4.886815439079794,-0.40462835618867615
20.42,-0.19291289686874713,-4.879423622825703,-0.40462868700730037
20.44,-0.21143630387793788,-4.8718816592054806,-0.404629011271938
20.46,-0.22989807106089738,-4.864190042018166,-0.40462932911276134
20.48,-0.24829698931589333,-4.856349274867093,-0.40462964065686347
20.5,-0.2666318536553044,-4.848359871126872,-0.4046299460291543
20.52,-0.2849014632846088,-4.840222353909734,-0.40463024535156616
20.54,-0.3031046216810791,-4.831937256031231,-0.40463053874377786
20.56,-0.3212401366722486,-4.8235051199752865,-0.40463082632393876
20.58,-0.33930682051401934,-4.81492649785865,-0.40463110820702686
